side,t,rank
missing_in_LPS,1.151459029922891,5|3|1|2|4
missing_in_LPS,1.1144845286710632,5|3|1|4|2
missing_in_LPS,1.0458855343871256,5|3|4|1|2
missing_in_LPS,0.9790698761764272,5|3|4|2|1
missing_in_LPS,0.8938264118755896,5|3|2|4|1
missing_in_LPS,0.864817478417564,5|2|3|4|1
